transaction_id,customer_id,amount_usd,ml_risk_probability,ml_risk_score,ml_risk_level,top_positive_shap_features,top_positive_shap_values,top_negative_shap_features,top_negative_shap_values
TXN00115219,CUST002838,158.74,3.2836130751908237e-09,3.2836130751908237e-07,LOW,transaction_hour | is_night_transaction | channel_transaction_ratio,5.019582 | 1.509443 | 1.502106,cash_ratio_24h | log_amount | transaction_month,-1.796937 | -1.460175 | -1.396581
TXN00032751,CUST003666,3131.95,1.4830096246486767e-10,1.4830096246486767e-08,LOW,log_amount | amount_deviation_from_average | amount_usd,5.280335 | 1.163842 | 0.722336,transaction_hour | customer_volume_share | amount_vs_customer_average,-1.939977 | -1.540275 | -1.390622
TXN00099114,CUST002362,1365.92,1.788622280170047e-12,1.788622280170047e-10,LOW,log_amount | transaction_hour | amount_vs_customer_max,3.401861 | 2.844720 | 0.932149,transaction_month | cash_ratio_24h | international_ratio_24h,-2.346636 | -1.796937 | -1.361817
TXN00069070,CUST002258,106.25,1.0465152860371473e-14,1.0465152860371474e-12,LOW,international_ratio_24h | transaction_month | cash_ratio_24h,1.248694 | 0.503529 | 0.268508,transaction_hour | log_amount | channel_transaction_ratio,-2.809922 | -2.362444 | -1.702147
TXN00011530,CUST003340,137.62,3.1218221322718596e-16,3.1218221322718595e-14,LOW,amount_vs_customer_average | cash_ratio_24h | customer_volume_share,0.272416 | 0.268508 | 0.245547,transaction_hour | channel_transaction_ratio | log_amount,-3.679867 | -1.793697 | -1.781351
TXN00012486,CUST004131,2032.98,1.3503096817282048e-09,1.3503096817282048e-07,LOW,log_amount | transaction_month | transaction_hour,4.301978 | 2.403639 | 0.669858,channel_transaction_ratio | international_ratio_24h | channel_transaction_count,-1.494078 | -1.361817 | -1.018882
TXN00070217,CUST003457,147.6,6.506605608936566e-11,6.506605608936566e-09,LOW,transaction_month | international_ratio_24h | channel_transaction_count,2.403639 | 1.248694 | 1.015492,transaction_hour | log_amount | is_night_transaction,-2.374949 | -1.623897 | -0.530345
TXN00103029,CUST000754,746.15,5.1846912015768604e-11,5.18469120157686e-09,LOW,log_amount | transaction_month | is_small_cash_transaction,2.033800 | 1.453584 | 0.776018,transaction_hour | channel_transaction_ratio | cash_ratio_24h,-1.070032 | -0.852039 | -0.764215
TXN00027616,CUST002257,62.12,8.65388851488419e-11,8.65388851488419e-09,LOW,transaction_hour | transaction_month | is_night_transaction,4.149637 | 2.403639 | 1.509443,log_amount | high_customer_risk | customer_risk_numeric,-3.563080 | -1.231971 | -0.781476
TXN00093243,CUST000388,546.98,2.6398634660027444e-12,2.6398634660027446e-10,LOW,log_amount | international_ratio_24h | transaction_month,1.331645 | 1.248694 | 0.978557,transaction_hour | pep_flag | high_customer_risk,-1.505005 | -1.343559 | -1.231971
TXN00016584,CUST003636,388.03,2.141039468550491e-10,2.141039468550491e-08,LOW,transaction_month | transaction_hour | is_small_cash_transaction,2.403639 | 1.974775 | 0.776018,cash_ratio_24h | international_ratio_24h | is_night_transaction,-1.796937 | -1.361817 | -0.530345
TXN00061298,CUST003586,1280.01,1.0658757284848191e-07,1.065875728484819e-05,LOW,log_amount | transaction_hour | transaction_month,3.254849 | 2.844720 | 1.928612,amount_vs_customer_average | customer_volume_share | is_night_transaction,-0.898538 | -0.637965 | -0.530345
TXN00085040,CUST004861,341.62,3.0004409055147215e-08,3.0004409055147213e-06,LOW,transaction_hour | transaction_month | is_night_transaction,5.019582 | 1.928612 | 1.509443,international_ratio_24h | unique_counterparties | customer_total_transactions,-1.361817 | -0.588910 | -0.543703
TXN00006664,CUST003421,137.84,1.2189225793337357e-13,1.2189225793337357e-11,LOW,is_night_transaction | channel_transaction_ratio | structuring_ratio,1.509443 | 1.378204 | 0.505986,transaction_hour | log_amount | international_ratio_24h,-4.549811 | -1.777760 | -1.361817
TXN00113542,CUST000638,672.95,1.9320078832765982e-10,1.9320078832765983e-08,LOW,transaction_month | log_amount | unique_destination_countries,1.928612 | 1.800275 | 0.476960,international_ratio_24h | transaction_hour | is_night_transaction,-1.361817 | -1.070032 | -0.530345
TXN00038268,CUST000047,229.91,7.38594943214228e-07,7.38594943214228e-05,LOW,suspicious_transaction_ratio | transaction_hour | rapid_movement_ratio,5.280900 | 4.584609 | 2.429835,amount_deviation_from_average | customer_total_volume | mule_behavior_indicator,-6.180256 | -2.429120 | -1.552396
TXN00088145,CUST003432,410.61,1.5151443994076644e-11,1.5151443994076644e-09,LOW,transaction_month | international_ratio_24h | is_small_cash_transaction,1.453584 | 1.248694 | 0.776018,transaction_hour | cash_ratio_24h | is_night_transaction,-2.374949 | -1.796937 | -0.530345
SCN00610005,CUST000061,6898.58,0.9999998519498711,99.9999851949871,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,7.068375 | 5.810223 | 5.711653,average_transaction_30d | structuring_customer_count | volume_30d,-1.771064 | -1.472399 | -0.849399
TXN00075682,CUST000677,3072.51,4.2174026204581663e-08,4.217402620458166e-06,LOW,log_amount | transaction_hour | amount_deviation_from_average,5.236953 | 2.409747 | 0.981701,international_ratio_24h | transaction_month | amount_vs_customer_average,-1.361817 | -0.921553 | -0.814700
TXN00093750,CUST002527,367.61,4.565856230781028e-12,4.565856230781028e-10,LOW,transaction_month | is_small_cash_transaction | log_amount,1.453584 | 0.776018 | 0.433646,cash_ratio_24h | international_ratio_24h | is_night_transaction,-1.796937 | -1.361817 | -0.530345
TXN00092401,CUST002031,1128.61,5.3925045047821894e-11,5.392504504782189e-09,LOW,log_amount | transaction_hour | international_ratio_24h,2.969989 | 1.539802 | 1.248694,channel_transaction_ratio | transaction_month | channel_transaction_count,-1.682913 | -1.396581 | -1.188414
TXN00070068,CUST004747,557.12,7.517881447644687e-07,7.517881447644686e-05,LOW,transaction_hour | transaction_month | is_night_transaction,5.019582 | 2.403639 | 1.509443,channel_transaction_ratio | channel_transaction_count | transaction_day_of_week,-0.767962 | -0.510289 | -0.352400
TXN00112658,CUST004402,1424.09,3.1866513436868415e-11,3.1866513436868413e-09,LOW,log_amount | transactions_24h | amount_vs_customer_max,3.496248 | 0.964005 | 0.650621,transaction_month | transaction_hour | is_night_transaction,-1.871608 | -1.505005 | -0.530345
TXN00064788,CUST003767,1272.38,2.954714662936053e-10,2.954714662936053e-08,LOW,log_amount | international_ratio_24h | transaction_hour,3.241319 | 1.248694 | 1.104830,channel_transaction_ratio | transaction_month | channel_transaction_count,-1.188345 | -0.921553 | -0.849351
TXN00026521,CUST000879,3360.0,1.8871576415370655e-12,1.8871576415370655e-10,LOW,log_amount | amount_vs_customer_max | amount_deviation_from_average,5.439469 | 1.826970 | 1.393684,top_transaction_indicator | transaction_hour | amount_vs_customer_average,-3.591158 | -3.244894 | -2.715828
TXN00009296,CUST004746,1489.17,1.3038377780773363e-09,1.3038377780773363e-07,LOW,log_amount | transaction_hour | amount_vs_customer_max,3.597384 | 2.844720 | 0.832325,international_ratio_24h | amount_vs_customer_average | is_night_transaction,-1.361817 | -0.709530 | -0.530345
TXN00067168,CUST001309,207.09,1.1064380794278306e-13,1.1064380794278307e-11,LOW,channel_transaction_ratio | transaction_month | cash_ratio_24h,0.913570 | 0.503529 | 0.268508,transaction_hour | international_ratio_24h | log_amount,-3.679867 | -1.361817 | -0.861305
TXN00046694,CUST002992,135.96,1.0847997115697994e-13,1.0847997115697995e-11,LOW,is_night_transaction | international_ratio_24h | is_small_cash_transaction,1.509443 | 1.248694 | 0.776018,transaction_hour | log_amount | cash_ratio_24h,-4.114839 | -1.808637 | -1.796937
TXN00057330,CUST004944,4075.3,1.1445536594244982e-11,1.144553659424498e-09,LOW,log_amount | amount_deviation_from_average | international_ratio_24h,5.876468 | 1.362837 | 1.248694,transaction_hour | transaction_month | channel_transaction_ratio,-2.809922 | -1.871608 | -1.832933
TXN00073925,CUST001439,370.6,4.336325795507294e-12,4.3363257955072936e-10,LOW,international_ratio_24h | transaction_month | transactions_7d,1.248694 | 0.978557 | 0.677483,transaction_hour | channel_transaction_count | channel_transaction_ratio,-1.505005 | -1.018882 | -0.990518
TXN00040958,CUST003583,1463.94,4.4237461651239977e-11,4.423746165123998e-09,LOW,log_amount | channel_transaction_ratio | is_small_cash_transaction,3.558710 | 1.297398 | 0.776018,cash_ratio_24h | international_ratio_24h | transaction_hour,-1.796937 | -1.361817 | -1.070032
TXN00101374,CUST002176,132.34,3.144959865313659e-15,3.1449598653136593e-13,LOW,international_ratio_24h | amount_vs_customer_average | cash_ratio_24h,1.248694 | 0.295655 | 0.268508,transaction_hour | transaction_month | log_amount,-3.244894 | -2.821663 | -1.869304
TXN00031984,CUST002620,73.25,5.418948827185572e-12,5.418948827185572e-10,LOW,transaction_month | international_ratio_24h | channel_transaction_ratio,1.928612 | 1.248694 | 0.795863,log_amount | transaction_hour | is_night_transaction,-3.195273 | -1.505005 | -0.530345
TXN00020185,CUST002123,77.84,3.2206252931787303e-10,3.22062529317873e-08,LOW,transaction_month | transaction_hour | channel_transaction_ratio,1.928612 | 1.539802 | 1.404017,log_amount | cash_ratio_24h | is_night_transaction,-3.059424 | -1.796937 | -0.530345
TXN00094218,CUST002855,3376.0,6.64909851962902e-08,6.649098519629021e-06,LOW,log_amount | transaction_hour | is_night_transaction,5.450225 | 4.584609 | 1.509443,transaction_month | international_ratio_24h | customer_volume_share,-1.396581 | -1.361817 | -1.211915
TXN00064682,CUST003835,667.25,3.719802049721744e-11,3.7198020497217436e-09,LOW,log_amount | international_ratio_24h | unique_counterparties,1.781038 | 1.248694 | 0.430588,transaction_month | transaction_hour | is_night_transaction,-1.871608 | -1.070032 | -0.530345
TXN00052444,CUST004843,242.11,2.3527805485067297e-10,2.35278054850673e-08,LOW,transaction_hour | international_ratio_24h | cash_ratio_24h,2.409747 | 1.248694 | 0.268508,is_night_transaction | log_amount | channel_transaction_count,-0.530345 | -0.509028 | -0.340758
TXN00111388,CUST004361,766.55,1.278513141298688e-12,1.278513141298688e-10,LOW,log_amount | is_night_transaction | international_ratio_24h,2.094809 | 1.509443 | 1.248694,transaction_hour | transaction_month | channel_transaction_ratio,-4.549811 | -1.871608 | -1.109523
TXN00106312,CUST004045,72.19,7.378096089741759e-14,7.37809608974176e-12,LOW,international_ratio_24h | amount_vs_customer_average | customer_volume_share,1.248694 | 0.308132 | 0.278362,log_amount | transaction_hour | transaction_month,-3.227839 | -1.505005 | -1.396581
TXN00046554,CUST004746,202.04,9.435755690570639e-15,9.43575569057064e-13,LOW,is_small_cash_transaction | transactions_7d | unique_counterparties,0.776018 | 0.480540 | 0.250676,cash_ratio_24h | channel_transaction_ratio | transaction_month,-1.796937 | -1.440575 | -1.396581
TXN00054797,CUST000553,221.51,1.867305844116877e-11,1.867305844116877e-09,LOW,transaction_hour | channel_transaction_ratio | is_small_cash_transaction,2.844720 | 0.785628 | 0.776018,cash_ratio_24h | international_ratio_24h | log_amount,-1.796937 | -1.361817 | -0.709559
TXN00015905,CUST003184,723.56,4.764038219266694e-11,4.7640382192666936e-09,LOW,transaction_hour | log_amount | customer_max_transaction,2.844720 | 1.964267 | 0.373287,international_ratio_24h | channel_transaction_count | channel_transaction_ratio,-1.361817 | -0.849351 | -0.790088
TXN00005723,CUST004638,439.73,6.515588437931542e-09,6.515588437931542e-07,LOW,transaction_hour | is_night_transaction | transaction_month,4.149637 | 1.509443 | 1.453584,cash_ratio_24h | channel_transaction_ratio | channel_transaction_count,-1.796937 | -1.636754 | -1.188414
TXN00032446,CUST001931,157.04,5.107332084132669e-08,5.107332084132669e-06,LOW,transaction_hour | transaction_month | is_night_transaction,4.149637 | 1.928612 | 1.509443,log_amount | unique_destination_countries | channel_transaction_ratio,-1.484407 | -0.510827 | -0.424012
TXN00044967,CUST003310,132.14,6.139831312566505e-11,6.139831312566505e-09,LOW,transaction_hour | international_ratio_24h | amount_vs_customer_average,2.409747 | 1.248694 | 0.285108,log_amount | is_night_transaction | transaction_month,-1.872703 | -0.530345 | -0.446526
TXN00117613,CUST002942,110.85,5.828706485625225e-14,5.828706485625225e-12,LOW,channel_transaction_ratio | channel_transaction_count | amount_vs_customer_average,0.368629 | 0.337367 | 0.291639,transaction_hour | log_amount | international_ratio_24h,-2.809922 | -2.267331 | -1.361817
TXN00091237,CUST002088,1191.8,1.6982996349165628e-07,1.6982996349165628e-05,LOW,transaction_hour | log_amount | is_night_transaction,3.279692 | 3.093265 | 1.509443,counterparty_diversity_ratio | suspicious_transaction_ratio | unique_counterparties,-1.179491 | -0.276996 | -0.229087
TXN00105800,CUST001291,553.55,8.345847056814492e-09,8.345847056814491e-07,LOW,transaction_hour | is_night_transaction | log_amount,4.149637 | 1.509443 | 1.358638,international_ratio_24h | transaction_month | unique_counterparties,-1.361817 | -0.921553 | -0.408998
TXN00037077,CUST001177,2162.25,1.7908194118073637e-06,0.00017908194118073636,LOW,transaction_hour | log_amount | is_night_transaction,5.454554 | 4.441530 | 1.509443,channel_transaction_ratio | amount_vs_customer_average | channel_transaction_count,-1.375182 | -1.079217 | -0.849351
TXN00059820,CUST003912,1712.82,2.461615214697671e-05,0.002461615214697671,LOW,transaction_hour | log_amount | is_night_transaction,4.584609 | 3.914083 | 1.509443,suspicious_transaction_ratio | amount_vs_customer_max | is_small_cash_transaction,-0.276996 | -0.202391 | -0.115957
TXN00012160,CUST001738,542.91,1.3939112091865139e-14,1.393911209186514e-12,LOW,log_amount | unique_destination_countries | cash_ratio_24h,1.314761 | 0.618072 | 0.268508,transaction_month | channel_transaction_ratio | international_ratio_24h,-2.821663 | -1.375182 | -1.361817
TXN00065640,CUST001653,6921.82,1.2757677460604112e-07,1.2757677460604111e-05,LOW,log_amount | transaction_hour | amount_deviation_from_average,7.075991 | 2.844720 | 2.782648,top_transaction_indicator | amount_vs_customer_average | customer_volume_share,-3.591158 | -3.215172 | -2.724158
TXN00062745,CUST000183,136.18,6.6838071842739085e-15,6.683807184273908e-13,LOW,channel_transaction_ratio | amount_vs_customer_average | cash_ratio_24h,0.394273 | 0.275848 | 0.268508,transaction_hour | log_amount | international_ratio_24h,-3.679867 | -1.805002 | -1.361817
TXN00004883,CUST001290,25.85,8.360286393095484e-12,8.360286393095484e-10,LOW,transaction_hour | is_night_transaction | channel_transaction_ratio,4.584609 | 1.509443 | 1.041513,log_amount | transaction_month | international_ratio_24h,-5.498982 | -1.396581 | -1.361817
TXN00111649,CUST000786,1126.93,2.627645380243098e-10,2.627645380243098e-08,LOW,log_amount | transaction_hour | amount_deviation_from_average,2.966618 | 2.409747 | 0.342564,international_ratio_24h | is_night_transaction | transaction_month,-1.361817 | -0.530345 | -0.446526
TXN00086798,CUST001936,1493.69,6.451063585440056e-10,6.451063585440056e-08,LOW,log_amount | transaction_hour | international_ratio_24h,3.604243 | 1.974775 | 1.248694,transaction_month | is_night_transaction | transaction_day_of_week,-2.346636 | -0.530345 | -0.352400
TXN00105447,CUST000144,1009.07,0.9316829602129807,93.16829602129808,CRITICAL,suspicious_transaction_ratio | transaction_hour | channel_transaction_count,6.278471 | 4.584609 | 3.727991,amount_deviation_from_average | structuring_customer_count | customer_total_volume,-1.110933 | -0.652121 | -0.451942
TXN00067836,CUST004812,308.97,2.520425918818154e-13,2.520425918818154e-11,LOW,transaction_month | is_small_cash_transaction | customer_max_transaction,0.978557 | 0.776018 | 0.395720,cash_ratio_24h | international_ratio_24h | transaction_hour,-1.796937 | -1.361817 | -1.070032
TXN00094246,CUST000756,211.42,1.2562906893339e-09,1.2562906893339e-07,LOW,transaction_hour | is_night_transaction | international_ratio_24h,5.019582 | 1.509443 | 1.248694,pep_flag | high_customer_risk | log_amount,-1.343559 | -1.231971 | -0.814662
TXN00089877,CUST000259,464.6,7.042971848065822e-11,7.042971848065822e-09,LOW,international_ratio_24h | log_amount | channel_transaction_ratio,1.248694 | 0.962680 | 0.560448,transaction_month | is_night_transaction | is_weekend,-0.921553 | -0.530345 | -0.430003
TXN00032905,CUST000009,18.57,9.162970827085825e-12,9.162970827085825e-10,LOW,transaction_hour | is_night_transaction | international_ratio_24h,5.454554 | 1.509443 | 1.248694,log_amount | transaction_month | is_weekend,-6.215271 | -2.821663 | -0.430003
TXN00056817,CUST003316,988.05,2.2833467004714676e-10,2.2833467004714675e-08,LOW,log_amount | transaction_month | channel_transaction_count,2.669034 | 1.453584 | 1.354554,transaction_hour | international_ratio_24h | is_night_transaction,-3.244894 | -1.361817 | -0.530345
TXN00024471,CUST004248,208.29,1.0119506543438759e-10,1.0119506543438758e-08,LOW,international_ratio_24h | channel_transaction_count | transaction_month,1.248694 | 0.506898 | 0.503529,log_amount | is_night_transaction | average_transaction_30d,-0.848282 | -0.530345 | -0.389121
TXN00098741,CUST000771,1701.07,8.839966511485443e-10,8.839966511485444e-08,LOW,log_amount | international_ratio_24h | amount_vs_customer_max,3.898502 | 1.248694 | 1.076174,transaction_hour | transaction_month | amount_vs_customer_average,-2.374949 | -1.396581 | -0.705202
TXN00008133,CUST004214,467.16,2.736772065124996e-12,2.7367720651249963e-10,LOW,international_ratio_24h | transaction_hour | transaction_month,1.248694 | 1.104830 | 0.978557,cash_ratio_24h | channel_transaction_ratio | average_transaction_30d,-1.796937 | -1.793697 | -1.572960
TXN00005696,CUST004428,559.47,1.5595016637681702e-07,1.5595016637681703e-05,LOW,transaction_hour | is_night_transaction | channel_transaction_ratio,4.584609 | 1.509443 | 1.502106,international_ratio_24h | unique_counterparties | customer_total_transactions,-1.361817 | -0.349028 | -0.323581
TXN00082092,CUST004696,480.19,1.0293776874690153e-10,1.0293776874690154e-08,LOW,transaction_hour | is_night_transaction | log_amount,3.279692 | 1.509443 | 1.037272,cash_ratio_24h | international_ratio_24h | transaction_month,-1.796937 | -1.361817 | -0.921553
TXN00113259,CUST004359,64.7,4.174644879578837e-16,4.174644879578837e-14,LOW,is_night_transaction | channel_transaction_ratio | unique_destination_countries,1.509443 | 0.545735 | 0.476960,transaction_hour | log_amount | transaction_month,-4.549811 | -3.472349 | -2.821663
TXN00025959,CUST000586,147.19,1.8569817329074124e-11,1.8569817329074125e-09,LOW,transaction_hour | channel_transaction_ratio | cash_ratio_24h,2.409747 | 0.325034 | 0.268508,log_amount | international_ratio_24h | is_night_transaction,-1.630155 | -1.361817 | -0.530345
TXN00106521,CUST002874,48.86,1.8880519920788943e-13,1.8880519920788942e-11,LOW,is_night_transaction | international_ratio_24h | channel_transaction_count,1.509443 | 1.248694 | 1.015492,transaction_hour | log_amount | transaction_month,-4.114839 | -4.097166 | -1.871608
TXN00052089,CUST003151,1445.28,1.038394344015929e-13,1.038394344015929e-11,LOW,log_amount | amount_deviation_from_average | cash_ratio_24h,3.529676 | 0.391012 | 0.268508,transaction_month | transaction_hour | international_ratio_24h,-2.821663 | -2.374949 | -1.361817
TXN00039018,CUST004004,265.65,7.469686193205771e-11,7.469686193205771e-09,LOW,transaction_hour | international_ratio_24h | cash_ratio_24h,2.409747 | 1.248694 | 0.268508,is_night_transaction | channel_transaction_count | channel_transaction_ratio,-0.530345 | -0.510289 | -0.347579
TXN00031019,CUST002957,132.92,9.351813844677494e-14,9.351813844677494e-12,LOW,international_ratio_24h | adverse_media_flag | channel_transaction_ratio,1.248694 | 0.549416 | 0.423123,transaction_hour | log_amount | transaction_month,-2.809922 | -1.859473 | -1.396581
TXN00000841,CUST004815,1223.51,7.356420544493834e-14,7.356420544493834e-12,LOW,log_amount | amount_vs_customer_max | amount_deviation_from_average,3.152688 | 0.657511 | 0.410839,transaction_hour | channel_transaction_ratio | international_ratio_24h,-3.679867 | -1.558282 | -1.361817
TXN00106824,CUST004128,171.65,1.1503813766969254e-08,1.1503813766969254e-06,LOW,transaction_hour | transaction_month | is_night_transaction,3.279692 | 2.403639 | 1.509443,international_ratio_24h | log_amount | amount_vs_customer_max,-1.361817 | -1.284156 | -0.340880
TXN00112019,CUST003933,661.9,5.374362805047634e-12,5.374362805047634e-10,LOW,log_amount | transactions_24h | amount_vs_customer_max,1.762833 | 0.440089 | 0.316461,channel_transaction_ratio | transaction_hour | channel_transaction_count,-1.217337 | -1.070032 | -0.849351
TXN00021387,CUST002064,383.31,1.383197964797884e-10,1.383197964797884e-08,LOW,transaction_hour | international_ratio_24h | channel_transaction_count,1.539802 | 1.248694 | 0.845961,transaction_month | is_night_transaction | unique_destination_countries,-1.871608 | -0.530345 | -0.510827
TXN00119991,CUST002154,3124.96,3.8304895318237424e-09,3.8304895318237423e-07,LOW,log_amount | channel_transaction_ratio | amount_vs_customer_max,5.275276 | 1.366290 | 1.169867,transaction_hour | international_ratio_24h | amount_vs_customer_average,-1.939977 | -1.361817 | -1.176605
TXN00033208,CUST003553,1491.87,4.602155296081639e-12,4.602155296081639e-10,LOW,log_amount | international_ratio_24h | channel_transaction_ratio,3.601483 | 1.248694 | 0.773443,transaction_hour | transaction_month | customer_volume_share,-3.244894 | -2.346636 | -0.718909
TXN00078328,CUST004477,1336.94,5.383062680475348e-13,5.3830626804753474e-11,LOW,log_amount | amount_vs_customer_max | amount_deviation_from_average,3.353329 | 1.594614 | 0.576420,transaction_month | customer_volume_share | amount_vs_customer_average,-2.821663 | -1.866995 | -1.391008
TXN00046156,CUST001186,148.8,3.6659812115655774e-13,3.6659812115655773e-11,LOW,transaction_hour | international_ratio_24h | channel_transaction_ratio,1.539802 | 1.248694 | 0.913570,log_amount | pep_flag | high_customer_risk,-1.605681 | -1.343559 | -1.231971
TXN00017188,CUST004180,133.26,1.484027182855997e-12,1.484027182855997e-10,LOW,international_ratio_24h | channel_transaction_ratio | channel_transaction_count,1.248694 | 1.053698 | 0.337367,log_amount | transaction_month | transaction_hour,-1.853731 | -1.396581 | -0.635060
TXN00032610,CUST001688,27.49,2.8996296464810657e-15,2.8996296464810657e-13,LOW,is_night_transaction | channel_transaction_ratio | channel_transaction_count,1.509443 | 1.041513 | 0.506898,log_amount | transaction_hour | transaction_month,-5.364707 | -4.549811 | -2.346636
TXN00117120,CUST000414,147.71,1.006104407190516e-09,1.0061044071905161e-07,LOW,transaction_hour | channel_transaction_ratio | channel_transaction_count,1.974775 | 1.819011 | 1.354554,log_amount | is_night_transaction | amount_vs_customer_max,-1.622221 | -0.530345 | -0.292052
TXN00031028,CUST004517,101.63,9.652655607629607e-17,9.652655607629607e-15,LOW,international_ratio_24h | is_small_cash_transaction | transactions_7d,1.248694 | 0.776018 | 0.283598,transaction_hour | log_amount | transaction_month,-3.679867 | -2.462169 | -1.871608
TXN00013492,CUST003253,132.49,6.347660070635108e-12,6.347660070635108e-10,LOW,international_ratio_24h | channel_transaction_ratio | transaction_month,1.248694 | 0.773443 | 0.503529,log_amount | transaction_hour | is_night_transaction,-1.866757 | -1.070032 | -0.530345
TXN00099196,CUST002453,832.0,5.364066746896667e-12,5.364066746896667e-10,LOW,log_amount | unique_counterparties | customer_total_transactions,2.280139 | 0.370617 | 0.336788,international_ratio_24h | channel_transaction_ratio | channel_transaction_count,-1.361817 | -1.293441 | -0.849351
TXN00093784,CUST001469,681.12,9.982077578245271e-11,9.98207757824527e-09,LOW,log_amount | international_ratio_24h | channel_transaction_count,1.827565 | 1.248694 | 0.676429,transaction_hour | is_night_transaction | unique_destination_countries,-2.374949 | -0.530345 | -0.369714
TXN00038950,CUST002162,419.19,1.4422792782863375e-14,1.4422792782863375e-12,LOW,is_night_transaction | is_small_cash_transaction | log_amount,1.509443 | 0.776018 | 0.730264,transaction_hour | transaction_month | cash_ratio_24h,-4.549811 | -2.821663 | -1.796937
TXN00079734,CUST000016,269.52,8.188999487684422e-12,8.188999487684421e-10,LOW,suspicious_transaction_ratio | structuring_ratio | rapid_movement_ratio,5.533531 | 5.180020 | 2.545365,structuring_customer_count | transaction_hour | amount_deviation_from_average,-8.034621 | -3.679867 | -1.758128
TXN00073353,CUST000621,25.33,1.162732592832345e-14,1.162732592832345e-12,LOW,international_ratio_24h | transaction_month | is_small_cash_transaction,1.248694 | 0.978557 | 0.776018,log_amount | cash_ratio_24h | channel_transaction_ratio,-5.543275 | -1.796937 | -1.157206
TXN00007644,CUST002737,205.03,1.3409353807749956e-11,1.3409353807749957e-09,LOW,international_ratio_24h | customer_max_transaction | amount_vs_customer_average,1.248694 | 0.754445 | 0.299030,log_amount | amount_deviation_from_average | is_night_transaction,-0.883837 | -0.577528 | -0.530345
TXN00010237,CUST003864,59.22,1.5026099466617816e-14,1.5026099466617815e-12,LOW,channel_transaction_ratio | cash_ratio | amount_vs_customer_average,1.086669 | 0.299025 | 0.294667,log_amount | transaction_hour | international_ratio_24h,-3.669602 | -2.374949 | -1.361817
TXN00119328,CUST003256,948.71,3.6787245238455058e-09,3.678724523845506e-07,LOW,transaction_hour | log_amount | is_night_transaction,4.149637 | 2.577109 | 1.509443,channel_transaction_ratio | international_ratio_24h | channel_transaction_count,-1.538664 | -1.361817 | -1.188414
TXN00112056,CUST001061,533.08,2.3683343921863328e-11,2.368334392186333e-09,LOW,log_amount | transaction_hour | transaction_month,1.273455 | 1.104830 | 0.978557,international_ratio_24h | channel_transaction_ratio | channel_transaction_count,-1.361817 | -1.087453 | -0.849351
TXN00115002,CUST000532,1014.43,3.8187447878965294e-10,3.818744787896529e-08,LOW,log_amount | transaction_month | unique_counterparties,2.728649 | 2.403639 | 0.370617,international_ratio_24h | transaction_hour | is_night_transaction,-1.361817 | -1.070032 | -0.530345
TXN00096287,CUST004345,350.42,2.4018817467522148e-14,2.4018817467522147e-12,LOW,international_ratio_24h | transactions_24h | log_amount,1.248694 | 0.440089 | 0.325485,transaction_month | transaction_hour | channel_transaction_ratio,-2.821663 | -1.939977 | -1.748856
TXN00092524,CUST002786,127.66,2.4651776259630636e-08,2.4651776259630635e-06,LOW,transaction_hour | transaction_month | is_night_transaction,3.714664 | 2.403639 | 1.509443,log_amount | cash_ratio_24h | is_weekend,-1.950223 | -1.796937 | -0.430003
TXN00024775,CUST001576,4346.15,1.7038364547994404e-08,1.7038364547994405e-06,LOW,log_amount | transaction_vs_monthly_income | amount_deviation_from_average,6.022165 | 1.772371 | 1.700139,amount_vs_customer_average | customer_volume_share | transaction_hour,-2.133158 | -1.511614 | -0.635060
TXN00078057,CUST000578,11601.16,2.992926691142681e-08,2.9929266911426807e-06,LOW,log_amount | amount_deviation_from_average | amount_usd,8.245470 | 4.594551 | 3.206241,transaction_hour | amount_vs_customer_average | customer_volume_share,-4.549811 | -3.366552 | -2.161491
TXN00070542,CUST002981,1078.77,1.190421553281552e-09,1.1904215532815521e-07,LOW,transaction_hour | log_amount | is_night_transaction,4.149637 | 2.867790 | 1.509443,transaction_month | channel_transaction_ratio | channel_transaction_count,-2.346636 | -1.593158 | -1.188414
TXN00087118,CUST002044,3545.19,3.9571057723562965e-09,3.9571057723562965e-07,LOW,log_amount | transaction_hour | amount_vs_customer_max,5.560943 | 5.454554 | 1.826970,top_transaction_indicator | amount_vs_customer_average | customer_volume_share,-3.591158 | -1.889989 | -1.761334
TXN00062335,CUST000535,1815.74,1.1510985644943487e-07,1.1510985644943488e-05,LOW,log_amount | transaction_hour | is_night_transaction,4.046165 | 3.714664 | 1.509443,international_ratio_24h | transaction_month | average_transaction_30d,-1.361817 | -0.921553 | -0.531300
TXN00068402,CUST001063,491.37,1.7938155254650714e-12,1.7938155254650714e-10,LOW,transaction_month | international_ratio_24h | log_amount,1.453584 | 1.248694 | 1.089291,transaction_hour | channel_transaction_count | channel_transaction_ratio,-3.679867 | -0.849351 | -0.790088
TXN00021808,CUST001095,347.03,1.4185968320618589e-08,1.4185968320618588e-06,LOW,transaction_hour | transaction_month | international_ratio_24h,2.409747 | 2.403639 | 1.248694,is_night_transaction | transaction_day_of_week | transaction_day,-0.530345 | -0.352400 | -0.336514
